depth_m,age_ice_calBP,age_gas_calBP
359.945,1409,1229.3
360.175,1410,1230.3
360.471,1411,1231.4
360.646,1412,1232.4
360.93,1413,1233.4
361.105,1414,1234.5
361.39,1415,1235.5
361.576,1416,1236.5
361.904,1417,1237.5
362.134,1418,1238.6
362.374,1419,1239.6
362.659,1420,1240.6
362.867,1421,1241.7
363.075,1422,1242.7
363.414,1423,1243.7
363.611,1424,1244.7
363.797,1425,1245.8
364.059,1426,1246.8
364.289,1427,1247.8
364.53,1428,1248.8
364.825,1429,1249.8
365.022,1430,1250.8
365.339,1431,1251.8
365.536,1432,1252.8
365.81,1433,1253.8
366.105,1434,1254.8
366.335,1435,1255.8
366.565,1436,1256.8
366.816,1437,1257.8
367.013,1438,1258.8
367.254,1439,1259.8
367.451,1440,1260.8
367.703,1441,1261.8
367.899,1442,1262.8
368.118,1443,1263.8
368.293,1444,1264.8
368.6,1445,1265.8
368.775,1446,1266.8
369.07,1447,1267.8
369.333,1448,1268.8
369.519,1449,1269.8
369.792,1450,1270.8
370.066,1451,1271.8
370.274,1452,1272.8
370.536,1453,1273.8
370.744,1454,1274.8
370.985,1455,1275.8
371.237,1456,1276.8
371.488,1457,1277.7
371.685,1458,1278.7
372.013,1459,1279.7
372.221,1460,1280.7
372.484,1461,1281.7
372.703,1462,1282.6
372.976,1463,1283.6
373.206,1464,1284.6
373.501,1465,1285.6
373.775,1466,1286.5
373.961,1467,1287.5
374.169,1468,1288.5
374.409,1469,1289.4
374.65,1470,1290.4
374.913,1471,1291.4
375.088,1472,1292.3
375.252,1473,1293.3
375.427,1474,1294.3
375.678,1475,1295.3
375.908,1476,1296.2
376.116,1477,1297.2
376.302,1478,1298.1
376.455,1479,1299.1
376.652,1480,1300
376.915,1481,1301
377.112,1482,1301.9
377.407,1483,1302.8
377.692,1484,1303.8
377.921,1485,1304.7
378.206,1486,1305.7
378.403,1487,1306.6
378.6,1488,1307.6
378.808,1489,1308.5
379.059,1490,1309.5
379.322,1491,1310.4
379.541,1492,1311.4
379.792,1493,1312.3
379.989,1494,1313.3
380.164,1495,1314.2
380.328,1496,1315.2
380.624,1497,1316.2
380.919,1498,1317.1
381.149,1499,1318.1
381.346,1500,1319.1
381.587,1501,1320.1
381.805,1502,1321
382.057,1503,1322
382.243,1504,1323
382.506,1505,1324
382.768,1506,1325
383.02,1507,1326
383.217,1508,1327
383.403,1509,1328
383.643,1510,1329
383.862,1511,1330
384.081,1512,1331.1
384.289,1513,1332.1
384.562,1514,1333.1
384.77,1515,1334.1
384.989,1516,1335.1
385.208,1517,1336.1
385.449,1518,1337.1
385.799,1519,1338.2
386.094,1520,1339.2
386.324,1521,1340.2
386.63,1522,1341.2
386.882,1523,1342.2
387.123,1524,1343.2
